Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Serotonin,"New York, USA",NYC,HQ,Venture studio,Pre-seed/seed,web3 marketing plus product venture studio,Amanda Cassatt,Mojito (spinout),,Track,K,,verify
Seven Seven Six,"Jupiter, USA",US South,-,Generalist w/ crypto,Seed/A,"consumer tech, sizable crypto/NFT allocation",Alexis Ohanian,Doodles,~$500M Fund II,Track,K,,verify
Sfermion,"Chicago, USA",US Central,Verify,Crypto-native VC,Pre-seed/seed,"NFTs, metaverse, digital objects",Andrew Steinwold,,~$100M,Track,K,,verify
SGX Group,Singapore,Asia,-,CVC,Multi-stage,"digital bonds, FX DLT",,"Marketnode, Cobalt",,Track,K
Sheesha Finance,"Dubai, UAE",MEA,-,Crypto-native VC,Pre-seed/seed,DeFi fund and web3 incubation,Saeed Al Darmaki,,,Track,K,,verify
Shinhan Bank (strategic),"Seoul, South Korea",Asia,-,bank strategic investor,strategic,digital asset custody investments,,KDAC (Korea Digital Asset Custody),,Track,K,,verify
Shorooq Partners,"Abu Dhabi, UAE",MEA,-,Generalist w/ crypto,Seed/A,MENA tech; fintech and web3 exposure,"Shane Shin, Mahmoud Adi",Sarwa,,Track,K,,verify
SICPA,"Prilly (Lausanne), Switzerland",Europe,-,Corporate strategic,Strategic,Security-tech corporate with blockchain stakes,,Metaco,,Track,K,,verify
Sigma Capital,"Dubai, UAE",MEA,-,Crypto-native VC,Seed/A,"web3 fund, directs plus fund-of-funds",Vineet Budki,,~$100M,Track,K,,verify
Signum Capital,Singapore,Asia,-,Crypto-native VC,Pre-seed/seed,early-stage token and equity deals,John Ng Pangilinan,"Zilliqa, Kyber Network",,Track,K
Silver Castle,"Tel Aviv, Israel",MEA,-,Liquid + venture,Multi-stage,"digital asset investment house, crypto hedge funds","Eli Mizroch, Zvi Ziv, Gabi Ravid",,,Track,K
SIX Fintech Ventures,"Zurich, Switzerland",Europe,-,CVC,Pre-seed/seed,seed fintech/DLT around SDX,,,~CHF 50M,Track,K,,verify
SK Square,"Seoul, South Korea",Asia,-,CVC,Growth,Korean ICT holdco; exchange stakes,,Korbit (35% stake),,Track,K
SkyBridge Capital,"New York, USA",NYC,HQ,FoF,Multi-stage,"hedge FoF, heavy crypto allocation",Anthony Scaramucci,"Multicoin (fund LP), Bitcoin fund",~$2B AUM,Track,K
Skyfall Ventures,"Oslo, Norway",Europe,-,Generalist w/ crypto,Pre-seed/seed,Nordic early-stage incl. web3,Preben Songe-Møller,Nansen,~NOK 250m (Fund II),Track,K
Skyland Ventures,"Tokyo, Japan",Asia,-,Generalist w/ crypto,Pre-seed/seed,web3-heavy seed fund; token deals,Yoshihiko Kinoshita,,,Track,K
Skystar Capital,"Jakarta, Indonesia",Asia,-,VC (Kompas Gramedia-backed),seed,early-stage Indonesia; crypto exchange investor,Abraham Hidayat (managing partner),Reku,,Track,K,,verify
SMBC Venture Capital,"Tokyo, Japan",Asia,-,CVC,Multi-stage,megabank CVC; early bitFlyer backer,,bitFlyer,,Track,K,,verify
Snackclub,"Sao Paulo, Brazil",LatAm,-,Gaming investment company,Early,LatAm gaming and web3 investments,LOUD esports founders,,"~$9M raised, Animoca-led",Track,K,,verify
SoftBank Vision Fund,"Tokyo, Japan",Asia,Office,Growth fund,Growth,"mega-rounds; FTX writedown, NFT gaming",Masayoshi Son,"FTX, Sorare, Elliptic, Mercado Bitcoin",~$150B across Vision Funds,Track,K
Sol Strategies (fka Cypherpunk Holdings),"Toronto, Canada",Canada,-,Liquid + venture,Liquid,"Solana treasury, validators; ex-privacy holdings",Leah Wald,,,Track,K
Solana Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Solana L1 grants, validator support","Lily Liu, Dan Albert",,,Track,K
Solana Ventures,"San Francisco, USA",US West,-,Ecosystem fund,Seed/A,"Solana ecosystem startups, web3 gaming",,,"~$100M gaming fund (w/ FTX, Lightspeed)",Track,K,,verify
Sonic Labs (ex-Fantom Foundation),Remote,Global,-,Ecosystem fund,Pre-seed/seed,Sonic (ex-Fantom) L1 ecosystem incentives,"Michael Kong, Andre Cronje",,,Track,K,,verify
Sony Innovation Fund,"Tokyo, Japan",Asia,-,CVC,Seed/A,entertainment tech; Soneium chain ecosystem,Gen Tsuchikawa,Startale Labs (Sony Group),,Track,K,,verify
Sony Ventures (Sony Innovation Fund),"Tokyo, Japan",Asia,-,CVC,Multi-stage,corporate VC; web3 alongside Soneium push,Gen Tsuchikawa,Securitize (via Sony Financial Ventures),,Track,K,,verify
Soros Fund Management,"New York, USA",NYC,HQ,Family office,Growth,macro family office; crypto infra + BTC,Dawn Fitzpatrick,"Lukka (led Series E), NYDIG",~$28B AUM,Track,K
Sound Ventures,"Los Angeles, USA",US West,-,Generalist w/ crypto,Multi-stage,"celebrity-backed generalist, NFT/web3 exposure","Ashton Kutcher, Guy Oseary",,,Track,K,,verify
SparkChain Capital,"Seoul, South Korea",Asia,-,Crypto-native VC,Seed/A,"SparkLabs Group blockchain fund, global",Joyce Kim,,~$100M,Track,K,,verify
Sparkle Ventures,Luxembourg,Europe,-,Crypto-native VC,Pre-seed/seed,"Early-stage web3, brands & consumer",,Absolute Labs,,Track,K
Speedinvest,"Vienna, Austria",Europe,-,Generalist w/ crypto,Pre-seed/seed,"European seed, fintech incl. crypto",Oliver Holle,Bitpanda,~€1B AUM,Track,K
SPiCE VC,"Tel Aviv, Israel",MEA,-,Crypto-native VC,Seed/A,"tokenized VC fund, digital securities ecosystem",Tal Elyashiv,"Securitize, INX, Blockdaemon, Bakkt",,Track,K
"Spiral (Block, Inc.)","San Francisco, USA",US West,-,Corporate open-source funder,Grants,Bitcoin open-source incl. privacy tooling,Steve Lee (lead),"Funded BDK, Payjoin development",,Track,K
Square Enix,"Tokyo, Japan",Asia,-,CVC,Seed/A,"blockchain gaming thesis, token projects",Yosuke Matsuda,"Zebedee, The Sandbox",,Track,K
SSI Digital (SSI Securities),"Ho Chi Minh City, Vietnam",Asia,-,financial group digital arm,early/growth,web3 fund and digital asset initiatives,Nguyen Duy Hung (SSI chairman),,~$200M announced target,Track,K,,verify
St. John's Student-Managed Blockchain Fund,"New York, USA",NYC,HQ,Student-managed endowment fund,Liquid tokens,Crypto sleeve of university endowment,Tobin College of Business faculty-guided,BTC/crypto asset positions,"~$230K AUM (from $100K, 2022)",Track,K
Stacks Foundation,Remote,US Remote,People,Ecosystem fund,Pre-seed/seed,Stacks Bitcoin L2 ecosystem grants,"Muneeb Ali, Mitchell Cuevas",,,Track,K
Stanford Blockchain Accelerator,"Stanford, USA",US West,-,University accelerator,Pre-seed,Stanford student/alumni blockchain startups,Gil Rosen (co-lead),"PublicAI, PrismaX, RockSolid; 85+ teams",~$500M follow-on raised by teams,Track,K
Starbloom Capital,"Houston, USA",US South,-,newsletter-affiliated angel fund,Angel/pre-seed,Ethereum ecosystem fund of newsletter author,Evan Van Ness (Week in Ethereum News),,,Track,K,,verify
Starknet Foundation,Remote,Global,-,Ecosystem fund,Pre-seed/seed,"Starknet L2 STRK grants, ecosystem growth","Diego Oliva, Eli Ben-Sasson",,,Track,K
Startup Wise Guys,"Tallinn, Estonia",Europe,-,Accelerator,Pre-seed/seed,B2B accelerator; dedicated web3 program,"Cristobal Alonso, Herty Tammo",Loyi,,Track,K
State Street,"Boston, USA",US East,Office,CVC,Multi-stage,"tokenization, wholesale settlement",,"Securrency, Fnality",,Track,K
Steadview Capital,Hong Kong,Asia,-,Crossover hedge fund,Growth,India tech crossover; crypto exchanges,Ravi Mehta,CoinDCX (co-led Series D),,Track,K,,verify
Steaker,"Taipei, Taiwan",Asia,-,crypto asset manager,asset mgmt,"DeFi yield products; FTX-hit, troubled",Wilson Huang (founder/CEO),,,Track,K,,verify
Steakhouse Financial,Remote,Global,-,DAO treasury advisor / vault curator,Treasury/RWA,DAO stablecoin treasuries and RWA strategies,Sebastien Derivaux (co-founder),MakerDAO/Sky and Lido advisory; Morpho vaults,,Track,K,,verify
Stillmark,"Los Angeles, USA",US West,-,Crypto-native VC,Seed/A,"Bitcoin, Lightning ecosystem startups",Alyse Killeen,Galoy,,Track,K
Stone Ridge Asset Management,"New York, USA",NYC,HQ,Asset-manager strategic,Multi-stage,"bitcoin incubation, NYDIG parent",Ross Stevens,NYDIG (incubated),,Track,K
Stone Ridge Holdings Group,"New York, USA",NYC,HQ,Asset manager crossover,Liquid + venture,"alt manager; bitcoin treasury, NYDIG parent",Ross Stevens,NYDIG (founded),~$10B AUM,Track,K
Strangelove Ventures,Remote,US Remote,-,Venture studio,Incubation,Cosmos IBC developer tooling studio,"Jack Zampolin (founder, ex-Figment)",Noble (incubated),,Track,K,,verify
Stratos,"Los Angeles, USA",US West,-,Crypto VC,Seed + liquid,Crypto venture and liquid strategies,Rennick Palley (founding partner),,,Track,K,,verify
Strix Leviathan,"Seattle, USA",US West,-,Quant crypto fund,Liquid/quant,quantitative crypto trading strategies,"Jesse Proudman, Sadie Raney",,,Track,K,,verify
Strobe Ventures,"New York, USA",NYC,HQ,VC (BlockTower Ventures spinout),early-stage,high-conviction early-stage crypto investing,"Thomas Klocanas, Steven Venino, Winnie Lau","Ethena, Morpho, Maple Finance, Aptos",~$235M AUM; ~$100M Fund II target (2025),Track,K
Struck Crypto (Struck Capital),"Santa Monica, USA",US West,-,Crypto-native VC,Pre-seed/seed,crypto studio and fund arm,Adam Struck,,,Track,K
Sui Foundation,Remote,Global,-,Ecosystem fund,Pre-seed/seed,"Sui L1 grants, ecosystem growth",Greg Siourounis,,,Track,K
Sumitomo Mitsui Trust (strategic),"Tokyo, Japan",Asia,Office,trust bank strategic,strategic,trust bank; digital securities platforms,,Progmat,,Track,K,,verify
Sun Hung Kai & Co,Hong Kong,Asia,-,Financial group strategic,Growth,Digital asset banking and fund stakes,Lee Seng Huang (chairman),"Sygnum (led $90M Series B, 2022)",,Track,K
SUPER HOW?,"Vilnius, Lithuania",Europe,-,Venture studio,Pre-seed/seed,"blockchain R&D, tokenization, venture building","Andrius Bartminas, Vytautas Kašėta",,,Track,K
SuperLayer,"Los Angeles, USA",US West,-,Venture studio,Pre-seed/seed,consumer tokenized apps studio (RLY ecosystem),"Kevin Chou, Mahesh Vellanki",,,Track,K,,verify
Susquehanna International Group,"Bala Cynwyd, USA",US East,Office,Liquid + venture,Multi-stage,prop trading; major BTC ETF holder,Jeff Yass,,,Track,K,,verify
Sustany Capital,"Naples, USA",US South,-,Crypto-native VC,Pre-seed/seed,"web3, decentralized finance infrastructure",Christian Kameir,,,Track,K
SV Angel,"San Francisco, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,"Broad angel-style seed, early crypto exposure","Ron Conway, Topher Conway",Coinbase,,Track,K
SwissBorg Ventures,"Lausanne, Switzerland",Europe,-,CVC / community VC,Early-stage tokens/equity,Community-driven web3 venture deals,"Cyrus Fazel, Anthony Lesoismier (SwissBorg founders)",,,Track,K,,verify
Swisscom Ventures,"Zurich, Switzerland",Europe,-,CVC,Seed/A,Swiss deep tech; digital asset custody,,Metaco,,Track,K,,verify
SwissOne Capital,"Zug, Switzerland",Europe,-,Liquid asset manager,Multi-stage,Crypto index fund strategies,Kenny Hearn,,,Track,K,,verify
Symbolic Capital,Remote,Global,Verify,Crypto VC,Seed,Emerging-market web3 founders,"Sandeep Nailwal, Kenzi Wang (co-founders)",,~$50M Fund I,Track,K
Tally Capital,"Chicago, USA",US Central,-,Family office,Seed/A,Early bitcoin/blockchain infrastructure holdings,Matthew Roszak,"Blockstream, Bloq",,Track,K
Tangent,Remote,Global,-,Angel fund / crypto VC,Pre-seed/Seed,Founder-led crypto angel investing,"Jason Choi, Darryl Wang (co-founders, ex-Spartan)",,,Track,K
TDeFi,"Dubai, UAE",MEA,-,Accelerator,Pre-seed/seed,"web3 incubation, tokenomics advisory",Gaurav Dubey,,,Track,K,,verify
Team8,"Tel Aviv, Israel",MEA,Office,Generalist w/ crypto,Pre-seed/seed,"venture creation studio; cyber, fintech, digital assets",Nadav Zafrir,Curv,~$1B AUM,Track,K
Techemy Capital,"Auckland, New Zealand",Oceania,-,Liquid + venture,Multi-stage,"DeFi strategies, crypto data (Brave New Coin)",Fran Strajnar,,,Track,K,,verify
Techstars,"Boulder, USA",US West,Office,Accelerator,Pre-seed/seed,"accelerator; web3 programs w/ Filecoin, Launchpool, Alphabit","David Cohen, Brad Feld",,,Track,K,,verify
Telefonica Ventures,"Madrid, Spain",Europe,-,CVC,Seed/A,telco strategic; retail crypto rails,,Bit2Me,,Track,K,,verify
Telstra Ventures,"San Francisco, USA",US West,-,CVC,Multi-stage,revenue-signal growth; crypto exposure,Mark Sherman,FTX (written off),,Track,K
Temasek,Singapore,Asia,Office,Sovereign investor,Growth,sovereign growth checks; FTX writedown,Dilhan Pillay,"FTX, Amber Group, Immutable",~$280B portfolio,Track,K
Ten Eleven Ventures,"Burlingame, USA",US West,-,Cybersecurity VC,Early + growth,Cybersecurity-only VC backing crypto security,"Alex Doll, Mark Hatfield",Hypernative (led Series B),,Track,K,,verify
Ten31,"Nashville, USA",US South,People,Crypto-native VC,Seed/A,Bitcoin-only infrastructure and freedom tech,"Grant Gilliam, Jonathan Kirkwood, Matt Odell","Strike, Unchained, GRIID",~$250M deployed,Track,K
Tencent Investment,"Shenzhen, China",Asia,-,CVC,Multi-stage,"games, consumer internet; select web3",,"Immutable, Everledger",,Track,K
Tenity (ex F10),"Zurich, Switzerland",Europe,-,Accelerator,Pre-seed/seed,Fintech incubation incl. digital assets,Andreas Iten,,,Track,K,,verify
Tezos Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Tezos L1 grants, baker/dev funding",Roman Schnider,"TriliTech, Baking Bad (grants)",~$232M ICO treasury,Track,K
The Hashgraph Association,"Zurich, Switzerland",Europe,-,Ecosystem association,Grants/venture studio,Hedera ecosystem venture studios and grants,Kamal Youssefi (president),,~$250M venture studio (w/ Saudi MISA),Track,K
The LAO,"New York, USA",NYC,HQ,Venture DAO,Pre-seed/seed,member-run Ethereum venture DAO (Tribute Labs),Aaron Wright,,,Track,K
The Open Platform (TOP),"Dubai, UAE",MEA,-,Venture builder,Venture build / seed,TON/Telegram ecosystem apps builder,"Andrew Rogozov (CEO, ex-VK)","Wallet in Telegram, Tonkeeper",~$1B valuation; $28.5M Ribbit-led round (2025),Track,K
The Smarter Web Company,"Bristol, UK",UK,-,listed BTC treasury,n/a (treasury),Aquis-listed bitcoin treasury strategy,Andrew Webley (CEO),,"~2,000+ BTC held",Track,K
Thesis,Remote,US Remote,-,Venture studio,Pre-seed/seed,"Bitcoin venture studio, incubated products",Matt Luongo,"Fold, tBTC, Mezo",,Track,K
Theta Capital Management,"Amsterdam, Netherlands",Europe,-,FoF,Multi-stage,crypto-native VC fund-of-funds series,Ruud Smets,"Pantera, Polychain, Dragonfly, CoinFund (funds)",~$175M FoF IV,Track,K
Thiel Capital,"Los Angeles, USA",US West,-,Family office,Multi-stage,"Thiel FO, exchange and bitcoin ecosystem bets",Peter Thiel,"Bullish, BitDAO",,Track,K,,verify
Third Point,"New York, USA",NYC,HQ,Crossover hedge fund,Growth,event-driven; venture crypto bets,Dan Loeb,FTX,~$12B AUM,Track,K
Third Prime,"New York, USA",NYC,HQ,VC,Seed–Series A,Fintech and crypto payments infrastructure,"Wes Barton, Keith Hamlin",Yellow Card,~$500M AUM,Track,K
Thirty Five Ventures,"New York, USA",NYC,HQ,Athlete-founded VC,Multi-stage,sports-entertainment VC with crypto positions,"Kevin Durant, Rich Kleiman",Coinbase (early investor),,Track,K
Tiger Global Management,"New York, USA",NYC,HQ,Liquid + venture,Growth,crossover growth; crypto infra bets,"Chase Coleman, Scott Shleifer","NEAR Protocol, TRM Labs, CoinSwitch",~$50B AUM,Track,K
Timestamp Capital (8BTC/Babbitt),"Hangzhou, China",Asia,-,media-affiliated VC,Early,investment arm of Chinese crypto media 8BTC,Chang Jia (8BTC founder),,,Track,K,,verify
Tioga Capital Partners,"Brussels, Belgium",Europe,-,Crypto-native VC,Pre-seed/seed,"European web3: DeFi, infra, compliance","Nicolas Priem, Michiel Lescrauwaet, Patrick Van de Mosselaer",,~$70M Fund I,Track,K
Tokai Tokyo Financial Holdings,"Tokyo, Japan",Asia,-,securities firm strategic investor,strategic,digital securities and crypto exchange stakes,,Huobi Japan; ADDX (stakes),,Track,K,,verify
Token Bay Capital,Hong Kong,Asia,-,Crypto-native VC,Pre-seed/seed,"Early-stage crypto, fintech, Asia + MENA",Lucy Gazmararian,,,Track,K
Token Metrics Ventures,"Austin, USA",US South,-,Crypto VC,Seed/Token,Data-driven crypto venture bets,Ian Balina (founder/CEO),,,Track,K,,verify
Tokentus Investment AG,"Frankfurt, Germany",Europe,-,Listed investor,Seed/A,Exchange-listed blockchain investment company,Oliver Michel,,,Track,K,,verify
Tomahawk.VC,"Zurich, Switzerland",Europe,-,VC,Pre-seed/Seed,Global-first startups incl. web3/crypto,"Cedric Waldburger (GP, ex-DFINITY founding team)",,,Track,K,,verify
TON Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"The Open Network, Telegram ecosystem","Steve Yun, Andrew Rogozov",,~$250M TONcoin Fund,Track,K
TON Ventures,Remote,Global,-,Ecosystem VC,Pre-seed/Seed,"Telegram mini-apps, TON consumer crypto","Ian Wittkopp, Inal Kardan (ex-TON Foundation)","Catizen, Tradoor, Evaa Protocol",~$40M fund (2024),Track,K
TONcoin Fund,Remote,Global,-,Ecosystem fund,Early,TON ecosystem investments,"Backers incl. Huobi Incubator, KuCoin Ventures, Orbs",,~$250M (2022),Track,K,,verify
Topology Ventures,"San Francisco, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,"frontier tech + crypto, technical founders",Casey Caruso,,~$75M,Track,K,,verify
Tower Research Ventures,"New York, USA",NYC,HQ,HFT firm venture arm,Pre-seed-Series A,"Fintech and market-structure, some digital assets",Mark Gorton (Tower Research founder),,,Track,K,,verify
Tradeweb Markets (strategic),"New York, USA",NYC,HQ,strategic CVC (markets operator),strategic/growth,tokenized capital markets strategic investments,,"Securitize, Digital Asset",,Track,K
Trammell Venture Partners,"Austin, USA",US Central,-,Crypto-native VC,Pre-seed/seed,"Bitcoin-native startups, Lightning stack",Christopher Calicott,Voltage,,Track,K
Transcend Fund,"San Francisco, USA",US West,-,Gaming VC,Seed-Series A,games VC with blockchain gaming bets,Andrew Sheppard (ex-Kabam),Mythical Games,,Track,K,,verify
Transfero Group,"Rio de Janeiro, Brazil",LatAm,-,Crypto group / asset manager,-,BRZ stablecoin issuer; crypto asset funds,Thiago Cesar (CEO),BRZ stablecoin; crypto index funds,,Track,K,,verify
Transform Ventures,"San Juan, Puerto Rico (US)",US South,-,PR/media group VC arm,Early,crypto VC of Transform Group PR founder,Michael Terpin,,,Track,K
Tribe Accelerator,Singapore,Asia,-,Accelerator,Pre-seed/seed,government-backed blockchain accelerator,Yi Ming Ng,,,Track,K,,verify
Tribute Labs (The LAO / Flamingo DAO),"New York, USA",NYC,HQ,Investment DAO,Pre-seed/seed,"member-run investment DAOs, web3 + NFTs","Aaron Wright, David Roon",,,Track,K
TRON DAO,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,"TRON L1 ecosystem, gaming",Justin Sun,,~$100M TRON Arcade gaming fund,Track,K
Trovio Group,"Sydney, Australia",Oceania,-,Liquid + venture,Liquid,"digital asset funds, tokenization",Jon Deane,,,Track,K,,verify
True Global Ventures,Singapore,Asia,Verify,Generalist w/ crypto,Seed/A,"web3, metaverse, serial entrepreneurs",Dusan Stojanovic,"Animoca Brands, The Sandbox",~$100M+ Fund 4,Track,K
Tudor Investment Corporation,"Stamford, USA",US East,Verify,Macro hedge fund,Liquid,global macro; bitcoin allocation,Paul Tudor Jones,bitcoin futures/ETF positions,~$12B AUM,Track,K
TVM Ventures,"Dubai, UAE",MEA,-,Ecosystem VC,Early,TON ecosystem DeFi and PayFi,Steve Yun (ex-TON Foundation president),,~$100M Fund I (Feb 2025),Track,K
Tykhe Block Ventures,"Mumbai, India",Asia,-,Crypto-native VC,Seed/A,"blockchain growth fund, India + MENA",Prashant Malik,,~$30M,Track,K,,verify
Tyr Capital,"Geneva, Switzerland",Europe,-,Crypto hedge fund,Liquid + early-stage tokens,Digital asset hedge fund with venture allocations,Edouard Hindi (co-founder/CIO),,,Track,K
TZ APAC,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,Tezos ecosystem adoption and incubation,Colin Miles,,,Track,K,,verify
Ubisoft,"Paris, France",Europe,-,CVC,Pre-seed/seed,early web3 gaming backer,Nicolas Pouard,"Horizon Blockchain Games, Cross the Ages",,Track,K
UBS,"Zurich, Switzerland",Europe,Office,CVC,Multi-stage,"wholesale settlement DLT, Fnality initiator",,Fnality,,Track,K
UBX (UnionBank),"Manila, Philippines",Asia,-,corporate venture studio,early stage,UnionBank fintech/web3 arm; i2i chain,John Januszczak (CEO),PDAX (UnionBank strategic),,Track,K,,verify
UnicornDAO,Remote,Global,-,Collector DAO,Pre-seed/seed,women and LGBTQ+ artist NFT investing,Nadya Tolokonnikova,,~$4.5M raised,Track,K,,verify
Uniswap Foundation,"New York, USA",NYC,HQ,Ecosystem foundation (grants),Grants,Uniswap protocol ecosystem grants,Devin Walsh (executive director),,~$165M governance funding (2025),Track,K
Uniswap Labs Ventures,"New York, USA",NYC,HQ,CVC,Seed/A,"DeFi, web3 infrastructure",Hayden Adams,,,Track,K
United Ventures,"Milan, Italy",Europe,-,Generalist w/ crypto,Multi-stage,"software generalist, backed crypto exchange","Massimiliano Magrini, Paolo Gesess",Young Platform,,Track,K
University of Austin Bitcoin Endowment (UATX),"Austin, USA",US South,-,University BTC endowment fund,Bitcoin only,"First university bitcoin endowment, Unchained custody","Joe Kelly (Unchained CEO, seeded 2 BTC)",BTC in multisig vaults,"~$5M target, 5yr hold",Track,K
Unsupervised Capital,Remote,US Remote,-,Crypto-native VC,Pre-seed/seed,Bittensor subnet specialist fund,Sami Kassab,Bittensor subnets,,Track,K,,verify
Upper90,"New York, USA",NYC,HQ,Hybrid credit + equity fund,Seed/Credit,Credit and equity; financed Crusoe mining,"Billy Libby, Jason Finger",Crusoe,,Track,K,,verify
UTXO Management,"Nashville, USA",US South,-,Liquid + venture,Multi-stage,bitcoin ecosystem; BTC treasury companies,"David Bailey, Tyler Evans",Metaplanet,,Track,K
Valar Ventures,"New York, USA",NYC,HQ,Fintech VC,Multi-stage,"global consumer fintech, crypto platforms","Peter Thiel, Andrew McCormack, James Fitzgerald","BlockFi, Bitpanda, Wise, N26",,Track,K
Valhil Capital,"Houston, USA",US Central,-,Crypto PE,Multi-stage,XRP/XRPL ecosystem private equity,Jimmy Vallee,,,Track,K,,verify
Valor Equity Partners,"Chicago, USA",US Central,-,Growth PE,Growth,Operational growth equity; Crusoe lead backer,Antonio Gracias,Crusoe (led Series B),,Track,K,,verify
Variv Capital,Mexico City,LatAm,-,Generalist w/ crypto,Seed/A,Mexican VC; early Bitso backer,,Bitso,,Track,K
Varys Capital,"Bangkok, Thailand",Asia,Office,VC + quant trading,Early,"Blockchain infrastructure, gaming, finance",Darius Askaripour (managing partner),,~$75M debut venture fund (2023-24),Track,K,,verify
VeChain Foundation,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,"VeChainThor L1, enterprise/sustainability",Sunny Lu,,,Track,K,,verify
Venom Ventures Fund,"Abu Dhabi, UAE",MEA,-,Ecosystem fund,Multi-stage,"Venom blockchain ecosystem, ADGM-based",Peter Knez,Everscale,~$1B,Track,K
Venturra Capital,"Jakarta, Indonesia",Asia,-,VC (Lippo-backed),seed-Series B,SEA consumer/fintech; early Luno backer,John Riady; Stefan Jung; Raditya Pramana,Luno,~$150M Fund I,Track,K,,verify
Verda Ventures,"San Francisco, USA",US West,-,VC,Pre-seed–Seed,Stablecoin payments for emerging markets (MiniPay/Celo),Alex Witt (GP),,~$40M MiniPay Fund (with Opera),Track,K
Version One Ventures,"Vancouver, Canada",Canada,-,Generalist w/ crypto,Pre-seed/seed,"network effects, early crypto thesis","Boris Wertz, Angela Tran",Dapper Labs,,Track,K
Vertex Ventures SEA & India,Singapore,Asia,-,Generalist w/ crypto,Seed/A,"SEA tech, selective crypto exposure",Chua Kee Lock,Binance Singapore,~$540M Fund V,Track,K
Vertex Ventures Southeast Asia & India,Singapore,Asia,-,Generalist w/ crypto,Seed/A,"SEA generalist, early Binance backer",Chua Kee Lock,Binance (Asia),~$541M Fund V,Track,K
Verve Ventures (fka investiere),"Zurich, Switzerland",Europe,-,VC (generalist),Seed-Series B,Deep-tech VC with digital-asset deals,Steffen Wagner (co-founder),Metaco (as investiere),,Track,K,,verify
Vessel Capital,Remote,US Remote,Verify,"VC (evergreen, GP-funded)",pre-seed/seed,web3 infrastructure and applications,"Mirza Uddin, Eric Chen (Injective), Anthony Anzalone","Injective, Burnt (XION), Omni",~$55M evergreen fund (2023),Track,K
ViaBTC Capital,"Shenzhen, China",Asia,-,CVC,Seed/A,ViaBTC mining pool arm; web3 infra,Haipo Yang,,,Track,K,,verify
Virtu Financial (strategic),"New York, USA",NYC,HQ,strategic (market maker),strategic,crypto exchange and tokenization infrastructure,Doug Cifu,"EDX Markets, Digital Asset",,Track,K
Vision Ventures,"Riyadh, Saudi Arabia",MEA,-,VC,Seed/early,Saudi early-stage tech incl crypto exchange,Kais Al-Essa (founding partner),"Rain (Bahrain crypto exchange, early round)",,Track,K,,verify
VitaDAO,Remote,Global,-,Venture DAO,Pre-seed/seed,"DeSci longevity research funding, IP-NFTs","Paul Kohlhaas, Tyler Golato",,,Track,K
w3.fund,"Berlin, Germany",Europe,-,VC,Pre-seed/Seed,Community-driven early-stage web3 Europe,"Tim Keding, Feliks Eyser, Andre Kanya",,~€25M Fund I (2023 first close),Track,K
Wa'ed Ventures,"Dhahran, Saudi Arabia",MEA,-,CVC (Aramco venture arm),Seed-Series B,Saudi startups incl blockchain verification,Fahad Alidi (managing director),IR4LAB (Saudi blockchain firm),~$500M fund,Track,K,,verify
Walden Catalyst Ventures,"San Francisco, USA",US West,-,Deep tech VC,Seed-Series B,Deep tech incl. ZK hardware acceleration,"Young Sohn, Lip-Bu Tan",Ingonyama (led $21M seed),,Track,K
Wanxiang Blockchain Labs,"Shanghai, China",Asia,-,CVC,Multi-stage,"Blockchain incubation, summits, China ecosystem",Xiao Feng,,,Track,K
Warner Music Group,"New York, USA",NYC,HQ,CVC,Seed/A,"music web3, NFT platforms",,"Dapper Labs, Forte",,Track,K
Waterdrip Capital,Hong Kong,Asia,-,Crypto-native VC,Pre-seed/seed,"Bitcoin ecosystem, Web3 infrastructure",,"BEVM, Bool Network",,Track,K,,verify
Waterloo Blockchain,"Waterloo, Canada",Canada,-,Student club fund,Liquid tokens,Student crypto fund via Dorm DAO,,,~Dorm DAO ETH allocation,Track,K,,verify
Wave Digital Assets,"Los Angeles, USA",US West,-,Liquid + venture,Multi-stage,digital asset management plus early-stage venture,"David Siemer, Les Borsai",,~$1B AUM,Track,K
Wavemaker Genesis,"Los Angeles, USA",US West,-,VC (crypto arm),Seed/early,blockchain fund of Wavemaker Partners,Eric Manlunas (Wavemaker founder),,~$20M,Track,K,,verify
Web3 Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Polkadot/Kusama grants, research",Gavin Wood,400+ ecosystem grants,,Track,K
Wellington Management (strategic),"Boston, USA",US East,Verify,Asset-manager strategic,Growth,late-stage digital-asset custody bets,,Anchorage Digital,,Track,K,,verify
Wells Fargo Strategic Capital,"San Francisco, USA",US West,Office,CVC,Multi-stage,"blockchain analytics, trading infrastructure",,"Elliptic, Talos",,Track,K
